crashid,cartodbid,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,socrata_id,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
1,2698179,EAST 189 STREET,,2019-11-02 19:40:00+00,40.86006,-73.891136,Bronx,10458,4233825,0,0,1,0,0,0,1,0,"Unsafe Speed,Unspecified","Station Wagon/Sport Utility Vehicle,E-Bik"
2,2696344,BROOKVILLE BOULEVARD,,2019-11-01 10:05:00+00,,,,,4233325,0,0,1,0,0,0,1,0,"Following Too Closely,Reaction to Uninvolved Vehicle,Following Too Closely","Station Wagon/Sport Utility Vehicle,Box Truck,Pick-up Truck"
3,2696341,RICHMOND AVENUE,,2019-11-01 15:00:00+00,40.539898,-74.16103,Staten Island,,4233410,0,0,2,0,0,0,2,0,"Passing or Lane Usage Improper,Passing or Lane Usage Improper","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
4,2698183,LEFFERTS BOULEVARD,,2019-11-02 07:00:00+00,40.697327,-73.82961,Queens,,4234810,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Taxi
5,2701425,BRONX WHITESTONE BRIDGE,,2019-11-22 08:40:00+00,,,,,4247615,0,0,1,0,0,0,1,0,"Reaction to Uninvolved Vehicle,Following Too Closely","Taxi,Station Wagon/Sport Utility Vehicle"
6,2701510,WEST 118 STREET,,2019-11-22 16:50:00+00,40.80333,-73.94873,Manhattan,10026,4247344,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Motorcycle"
7,2701502,,2678      OCEAN AVENUE,2019-11-22 15:49:00+00,40.59608,-73.9508,Brooklyn,11229,4247147,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Bus,Sedan"
8,2701514,PENNSYLVANIA AVENUE,,2019-11-22 00:58:00+00,40.655495,-73.88833,Brooklyn,11207,4245402,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Pick-up Truck"
9,2701505,BROOKLYN QUEENS EXPRESSWAY,,2019-11-22 21:30:00+00,40.69993,-73.96188,Brooklyn,,4246881,0,0,1,0,0,0,1,0,"Unsafe Lane Changing,Unspecified","Sedan,Tractor Truck Diesel"
10,2701515,UNION STREET,,2019-11-22 21:00:00+00,40.76536,-73.82787,Queens,11354,4246072,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
